S/N,TwoClause_CDCL,AllClause_CDCL
243,0.336,0.215
244,0.68,0.09
245,0.455,0.113
246,0.638,0.116
247,0.208,0.103
248,1.009,0.17
249,0.668,0.13
250,0.513,0.261
251,1.043,0.188
252,0.551,0.238
253,0.627,0.234
254,0.451,0.252
255,0.552,0.164
256,0.389,0.167
257,0.575,0.262
258,0.6,0.087
259,1.387,0.145
260,0.686,0.26
261,1.418,0.318
262,0.57,0.12
263,0.204,0.151
264,0.151,0.169
265,2.368,0.45
266,0.624,0.148
267,0.77,0.283
268,0.558,0.14
269,0.555,0.154
270,0.295,0.159
271,0.528,0.154
272,0.42,0.159
273,0.399,0.189
274,0.518,0.232
275,0.302,0.17
276,0.696,0.102
277,0.31,0.164
278,0.742,0.116
279,0.878,0.194
280,0.759,0.206
281,0.796,0.226
282,0.82,0.284
283,0.268,0.046
284,0.644,0.217
285,0.439,0.162
286,0.846,0.206
287,0.54,0.139
288,0.569,0.14
289,0.252,0.086
290,1.079,0.12
291,0.63,0.068
292,0.624,0.06
293,0.598,0.093
294,0.325,0.293
295,0.766,0.157
296,0.745,0.149
297,0.587,0.123
298,0.964,0.146
299,0.613,0.183
300,0.45,0.105
301,0.51,0.167
302,0.511,0.167
303,0.687,0.11
304,0.362,0.129
305,0.212,0.082
306,0.375,0.071
307,0.402,0.088
308,0.963,0.235
309,0.837,0.1
310,1.43,0.241
311,0.474,0.108
312,0.532,0.107
313,0.338,0.046
314,1.173,0.2
315,0.77,0.108
316,1.68,0.234
317,0.771,0.099
318,0.331,0.098
319,0.313,0.1
320,0.221,0.252
321,0.495,0.088
322,0.241,0.079
323,0.603,0.1
324,1.619,0.111
325,0.283,0.061
326,0.497,0.172
327,0.484,0.09
328,1.229,0.239
329,0.383,0.039
330,0.66,0.07
331,0.543,0.186
332,0.213,0.061
333,0.674,0.156
334,0.414,0.12
335,0.601,0.175
336,0.208,0.132
337,0.551,0.128
338,0.4,0.228
339,0.815,0.091
340,0.517,0.163
341,0.595,0.086
342,0.664,0.162
343,0.706,0.208
344,1.432,0.091
345,0.543,0.091
346,1.843,0.204
347,3.521,0.178
348,0.55,0.282
349,0.712,0.162
350,0.266,0.125
351,0.828,0.194
352,0.463,0.105
353,0.398,0.048
354,0.33,0.19
355,0.638,0.174
356,0.512,0.13
357,0.536,0.109
358,0.582,0.165
359,0.825,0.141
360,0.522,0.195
361,0.779,0.299
362,0.289,0.085
363,0.285,0.092
364,1.557,0.125
365,0.459,0.093
366,0.386,0.14
367,0.348,0.15
368,0.883,0.107
369,1.957,0.16
370,0.655,0.079
371,0.537,0.097
372,0.426,0.152
373,0.203,0.12
374,0.903,0.11
375,0.443,0.167
376,1.016,0.075
377,0.298,0.126
378,0.86,0.148
379,0.909,0.099
380,0.684,0.166
381,0.433,0.18
382,0.599,0.276
383,0.945,0.133
384,0.312,0.149
385,0.537,0.117
386,0.503,0.126
387,0.482,0.101
388,0.229,0.203
389,1.303,0.136
390,0.464,0.143
391,0.578,0.202
392,0.416,0.09
393,1.654,0.22
394,0.484,0.118
395,0.306,0.153
396,0.981,0.075
397,1.559,0.218
398,0.945,0.149
399,0.286,0.132
400,0.622,0.086
401,0.596,0.181
402,0.94,0.13
403,0.363,0.147
404,0.582,0.155
405,0.603,0.314
406,0.228,0.127
407,0.378,0.057
408,1.019,0.113
409,0.365,0.196
410,0.872,0.13
411,0.468,0.267
412,1.02,0.144
413,0.658,0.184
414,0.561,0.2
415,0.785,0.137
416,0.777,0.068
417,0.516,0.166
418,0.337,0.364
419,0.43,0.104
420,0.539,0.214
421,0.378,0.114
422,1.236,0.116
423,1.341,0.18
424,0.16,0.13
425,0.8,0.156
426,0.333,0.153
427,0.607,0.287
428,0.959,0.108
429,0.706,0.122
430,0.442,0.084
431,0.245,0.061
432,0.746,0.067
433,0.418,0.203
434,1.803,0.365
435,0.834,0.179
436,0.566,0.112
437,0.359,0.078
438,0.542,0.135
439,0.522,0.208
440,0.769,0.129
441,0.357,0.071
442,0.479,0.128
443,0.404,0.115
444,0.308,0.068
445,0.107,0.059
446,0.762,0.101
447,0.136,0.143
448,0.345,0.15
449,0.68,0.112
450,1.072,0.15
451,1.853,0.134
452,1.26,0.104
453,0.405,0.154
454,0.719,0.105
455,1.714,0.086
456,0.75,0.218
457,0.629,0.094
458,0.831,0.171
459,0.667,0.074
460,0.351,0.087
461,0.534,0.327
462,0.484,0.129
463,0.478,0.202
464,0.343,0.071
465,0.504,0.304
466,0.743,0.13
467,0.388,0.2
468,0.979,0.11
469,0.674,0.256
470,0.56,0.19
471,0.388,0.113
472,0.869,0.14
473,0.524,0.084
474,0.886,0.118
475,0.805,0.114
476,0.458,0.16
477,0.816,0.215
478,0.625,0.224
479,0.442,0.098
480,0.703,0.085
481,0.312,0.071
482,0.468,0.056
483,0.372,0.178
484,0.771,0.086
485,0.878,0.187
486,0.22,0.156
487,0.57,0.127
488,0.303,0.087
489,0.712,0.135
490,1.161,0.582
491,0.664,0.304
492,1.271,0.134
493,0.694,0.131
494,0.641,0.19
495,0.289,0.106
496,1.119,0.098
497,0.594,0.157
498,0.762,0.272
499,0.683,0.123
500,1.023,0.142
501,0.568,0.141
502,0.787,0.14
503,0.398,0.133
504,0.769,0.196
505,0.564,0.189
506,0.821,0.186
507,0.308,0.114
508,0.572,0.1
509,0.345,0.145
510,0.474,0.109
511,0.851,0.089
512,0.511,0.212
513,0.8,0.253
514,0.708,0.057
515,0.484,0.084
516,0.297,0.123
517,0.766,0.174
518,0.909,0.138
519,0.555,0.108
520,1.584,0.238
521,1.286,0.035
522,0.734,0.163
523,1.097,0.076
524,0.552,0.13
525,1.557,0.154
526,1.76,0.109
527,0.524,0.083
528,0.48,0.172
529,0.918,0.091
530,0.55,0.209
531,1.722,0.136
532,0.445,0.139
533,0.686,0.461
534,0.261,0.107
535,0.541,0.086
536,0.776,0.068
537,0.702,0.143
538,0.55,0.082
539,1.291,0.144
540,0.62,0.112
541,0.773,0.093
542,1.057,0.13
543,0.873,0.208
544,0.892,0.177
545,0.642,0.131
546,0.223,0.142
547,0.421,0.107
548,0.441,0.157
549,0.554,0.179
550,0.364,0.139
551,0.52,0.192
552,0.278,0.07
553,0.548,0.16
554,0.47,0.234
555,0.442,0.29
556,0.218,0.084
557,0.878,0.157
558,0.617,0.191
559,0.396,0.083
560,1.007,0.238
561,0.946,0.087
562,0.947,0.138
563,0.55,0.098
564,0.394,0.154
565,0.409,0.195
566,0.35,0.133
567,0.936,0.124
568,0.618,0.105
569,0.729,0.181
570,0.394,0.1
571,0.412,0.205
572,0.57,0.143
573,1.284,0.144
574,0.341,0.126
575,1.101,0.098
576,0.708,0.14
577,0.295,0.221
578,1.088,0.074
579,0.704,0.248
580,0.268,0.107
581,1.008,0.097
582,0.5,0.077
583,0.141,0.091
584,0.706,0.2
585,0.544,0.232
586,0.925,0.169
587,1.416,0.211
588,0.753,0.134
589,0.685,0.208
590,0.553,0.082
591,0.571,0.177
592,0.72,0.052
593,0.3,0.189
594,0.414,0.199
595,0.337,0.079
596,0.496,0.164
597,0.967,0.103
598,0.398,0.053
599,0.578,0.175
600,0.393,0.246
601,0.521,0.09
602,0.672,0.144
603,0.959,0.186
604,1.2,0.173
605,0.978,0.172
606,0.473,0.091
607,1.145,0.097
608,0.628,0.099
609,0.353,0.105
610,0.37,0.079
611,0.866,0.257
612,1.117,0.17
613,0.317,0.157
614,1.367,0.104
615,0.795,0.071
616,0.361,0.217
617,0.876,0.264
618,0.747,0.099
619,0.331,0.132
620,0.934,0.169
621,0.433,0.09
622,1.055,0.229
623,0.258,0.212
624,0.706,0.151
625,1.862,0.168
626,1.012,0.168
627,0.437,0.065
628,0.479,0.086
629,0.567,0.121
630,0.322,0.128
631,1.573,0.066
632,0.312,0.252
633,0.89,0.173
634,0.463,0.144
635,0.864,0.198
636,1.074,0.107
637,0.837,0.24
638,0.301,0.089
639,0.287,0.083
640,0.779,0.093
641,1.579,0.12
642,0.195,0.077
643,0.206,0.103
644,0.714,0.1
645,0.539,0.186
646,0.787,0.124
647,0.534,0.207
648,0.747,0.149
649,0.418,0.168
650,0.603,0.347
651,0.763,0.206
652,0.795,0.123
653,0.703,0.087
654,1.238,0.215
655,0.598,0.093
656,0.521,0.093
657,0.488,0.128
658,0.258,0.206
659,0.949,0.231
660,0.344,0.272
661,0.457,0.147
662,0.414,0.248
663,0.389,0.07
664,0.644,0.274
665,0.299,0.147
666,0.249,0.119
667,1.766,0.107
668,0.309,0.124
669,0.254,0.137
670,0.766,0.216
671,0.53,0.144
672,0.216,0.104
673,0.319,0.088
674,0.332,0.11
675,0.632,0.116
676,0.776,0.164
677,0.514,0.213
678,0.311,0.106
679,0.477,0.124
680,0.307,0.105
681,0.405,0.113
682,0.296,0.108
683,1.716,0.109
684,0.181,0.101
685,1.963,0.151
686,0.096,0.094
687,0.581,0.126
688,0.71,0.138
689,0.715,0.2
690,0.571,0.175
691,0.455,0.108
692,0.254,0.126
693,0.156,0.187
694,0.626,0.046
695,0.461,0.094
696,0.406,0.14
697,0.45,0.136
698,0.891,0.075
699,0.198,0.096
700,0.373,0.191
701,0.792,0.081
702,0.407,0.167
703,0.473,0.076
704,1.302,0.116
705,0.994,0.182
706,0.918,0.103
707,0.639,0.2
708,0.687,0.108
709,0.461,0.215
710,0.727,0.281
711,0.427,0.205
712,0.684,0.289
713,0.384,0.128
714,0.823,0.24
715,0.436,0.238
716,0.816,0.139
717,0.621,0.119
718,0.709,0.176
719,0.965,0.162
720,0.15,0.075
721,0.435,0.165
722,0.638,0.15
723,0.595,0.218
724,0.435,0.077
725,0.447,0.111
726,0.863,0.176
727,0.813,0.19
728,0.483,0.085
729,0.765,0.087
730,0.181,0.087
731,1.829,0.191
732,0.403,0.162
733,0.486,0.066
734,0.36,0.129
735,0.32,0.126
736,0.19,0.082
737,0.974,0.21
738,0.244,0.088
739,1.043,0.121
740,0.288,0.136
741,0.361,0.134
742,0.481,0.181
743,0.75,0.262
744,0.568,0.171
745,0.599,0.155
746,0.278,0.138
747,0.189,0.077
748,1.0,0.137
749,1.727,0.245
750,0.529,0.049
751,0.736,0.187
752,0.855,0.153
753,0.146,0.075
754,0.58,0.115
755,0.892,0.154
756,0.321,0.083
757,0.282,0.127
758,0.174,0.112
759,0.869,0.11
760,0.46,0.108
761,0.611,0.179
762,0.574,0.145
763,1.057,0.13
764,0.392,0.155
765,0.384,0.302
766,0.868,0.117
767,0.944,0.259
768,0.56,0.147
769,0.645,0.059
770,0.551,0.139
771,0.695,0.086
772,0.42,0.052
773,0.739,0.093
774,0.23,0.059
775,2.135,0.215
776,0.261,0.072
777,1.097,0.141
778,0.109,0.18
779,0.468,0.105
780,0.387,0.088
781,0.975,0.167
782,0.556,0.127
783,0.178,0.103
784,0.724,0.158
785,0.717,0.055
786,1.223,0.14
787,0.818,0.122
788,0.514,0.153
789,0.624,0.189
790,0.628,0.093
791,0.258,0.064
792,0.457,0.234
793,0.695,0.066
794,0.624,0.099
795,1.227,0.177
796,0.96,0.123
797,0.447,0.099
798,0.874,0.135
799,0.38,0.21
800,0.323,0.118
801,0.829,0.087
802,0.28,0.084
803,0.898,0.165
804,2.776,0.135
805,0.568,0.124
806,0.993,0.097
807,0.787,0.181
808,0.772,0.206
809,0.306,0.068
810,0.802,0.196
811,0.915,0.261
812,0.37,0.119
813,0.625,0.198
814,0.757,0.118
815,0.236,0.091
816,0.927,0.166
817,1.432,0.139
818,0.304,0.131
819,0.763,0.167
820,0.453,0.087
821,0.552,0.125
822,1.125,0.191
823,1.196,0.126
824,0.801,0.126
825,0.308,0.203
826,1.229,0.162
827,0.386,0.11
828,0.373,0.067
829,0.621,0.118
830,0.668,0.154
831,0.474,0.151
832,0.898,0.139
833,0.32,0.161
834,0.442,0.13
835,0.724,0.191
836,0.498,0.233
837,0.5,0.145
838,0.34,0.149
839,0.874,0.14
840,0.33,0.047
841,0.411,0.106
842,0.594,0.187
843,1.095,0.084
844,0.201,0.052
845,0.49,0.099
846,0.807,0.21
847,0.863,0.169
848,0.444,0.165
849,0.976,0.147
850,0.553,0.075
851,0.722,0.197
852,0.815,0.217
853,0.969,0.142
854,0.785,0.121
855,0.218,0.104
856,0.338,0.15
857,0.403,0.178
858,0.512,0.185
859,1.24,0.121
860,0.406,0.117
861,1.435,0.112
862,0.564,0.137
863,1.458,0.115
864,0.772,0.133
865,1.211,0.193
866,0.77,0.203
867,1.164,0.288
868,0.263,0.07
869,0.472,0.169
870,1.613,0.146
871,1.331,0.128
872,0.584,0.112
873,0.664,0.146
874,1.508,0.107
875,0.429,0.141
876,0.623,0.16
877,0.324,0.167
878,0.519,0.18
879,0.258,0.11
880,1.357,0.161
881,1.029,0.184
882,0.45,0.131
883,1.141,0.184
884,2.338,0.171
885,1.121,0.079
886,0.36,0.201
887,0.558,0.09
888,0.69,0.166
889,0.355,0.208
890,0.133,0.088
891,0.43,0.137
892,0.496,0.127
893,0.964,0.107
894,0.422,0.09
895,0.303,0.172
896,0.428,0.189
897,0.769,0.052
898,0.554,0.076
899,0.219,0.088
900,0.914,0.166
901,0.4,0.136
902,0.877,0.074
903,0.564,0.163
904,3.131,0.133
905,0.203,0.039
906,0.771,0.138
907,0.718,0.231
908,0.289,0.067
909,0.716,0.149
910,0.755,0.154
911,1.857,0.186
912,0.906,0.153
913,0.477,0.323
914,1.115,0.112
915,0.451,0.096
916,0.402,0.099
917,0.741,0.061
918,1.194,0.165
919,0.965,0.126
920,0.169,0.092
921,0.538,0.231
922,1.192,0.161
923,1.886,0.131
924,0.99,0.1
925,0.44,0.166
926,0.762,0.189
927,0.283,0.028
928,0.355,0.109
929,0.831,0.198
930,0.624,0.174
931,0.246,0.194
932,0.287,0.133
933,0.364,0.088
934,0.425,0.112
935,0.375,0.166
936,0.976,0.175
937,0.333,0.071
938,0.256,0.158
939,0.241,0.089
940,0.294,0.162
941,0.212,0.135
942,0.488,0.19
943,0.826,0.193
944,1.204,0.072
945,0.806,0.143
946,0.203,0.124
947,0.703,0.224
948,0.786,0.126
949,0.855,0.234
950,0.711,0.114
951,0.684,0.184
952,0.437,0.237
953,0.429,0.151
954,0.672,0.126
955,0.452,0.19
956,0.827,0.159
957,0.729,0.148
958,0.432,0.103
959,0.798,0.096
960,0.542,0.139
961,0.248,0.08
962,0.198,0.044
963,0.468,0.205
964,0.485,0.061
965,1.321,0.213
966,0.256,0.098
967,1.217,0.205
968,0.914,0.152
969,0.873,0.138
970,0.558,0.153
971,0.487,0.184
972,0.255,0.116
973,0.607,0.124
974,0.291,0.076
975,1.376,0.096
976,0.593,0.243
977,1.963,0.108
978,1.562,0.124
979,0.456,0.138
980,0.484,0.152
981,0.949,0.167
982,0.826,0.134
983,0.368,0.092
984,0.475,0.103
985,0.684,0.25
986,0.307,0.109
987,0.907,0.09
988,0.556,0.127
989,0.25,0.147
990,1.066,0.318
991,0.794,0.14
992,0.648,0.233
993,0.665,0.192
994,0.601,0.194
995,0.276,0.079
996,0.46,0.068
997,0.467,0.093
998,0.638,0.11
999,0.751,0.074
1000,0.583,0.194
