S/N,TwoClause_CDCL,AllClause_CDCL
1,0.966,0.18
2,1.201,0.09
3,0.655,0.067
4,0.988,0.222
5,0.234,0.132
6,0.432,0.125
7,0.672,0.133
8,1.293,0.116
9,0.345,0.11
10,0.629,0.125
11,0.344,0.213
12,0.469,0.164
13,0.564,0.104
14,0.741,0.085
15,0.739,0.204
16,0.597,0.185
17,0.336,0.25
18,2.07,0.315
19,0.534,0.101
20,0.584,0.18
21,0.479,0.197
22,0.216,0.094
23,0.897,0.19
24,1.208,0.291
25,1.33,0.17
26,1.042,0.134
27,0.469,0.074
28,0.529,0.132
29,0.602,0.183
30,0.687,0.23
31,0.609,0.085
32,0.255,0.1
33,1.03,0.183
34,0.54,0.136
35,0.493,0.118
36,0.357,0.108
37,0.709,0.171
38,0.404,0.171
39,0.466,0.216
40,0.285,0.223
41,0.257,0.12
42,0.409,0.164
43,1.12,0.112
44,1.259,0.141
45,0.188,0.081
46,0.756,0.128
47,0.375,0.09
48,0.202,0.15
49,1.078,0.158
50,0.375,0.179
51,0.594,0.14
52,0.722,0.135
53,1.069,0.107
54,0.255,0.045
55,1.365,0.275
56,1.207,0.262
57,0.202,0.099
58,0.425,0.084
59,0.717,0.215
60,0.962,0.116
61,1.005,0.179
62,0.271,0.242
63,0.58,0.125
64,0.789,0.195
65,0.963,0.086
66,0.861,0.152
67,0.444,0.139
68,0.249,0.164
69,0.274,0.069
70,1.621,0.207
71,1.653,0.115
72,0.455,0.155
73,0.624,0.204
74,0.598,0.14
75,0.447,0.172
76,1.072,0.088
77,0.368,0.1
78,1.654,0.159
79,0.416,0.058
80,0.308,0.126
81,0.684,0.179
82,0.733,0.276
83,0.413,0.079
84,2.02,0.132
85,0.463,0.087
86,0.608,0.105
87,1.005,0.289
88,0.393,0.186
89,0.629,0.309
90,0.942,0.067
91,0.602,0.138
92,0.317,0.234
93,0.952,0.115
94,0.363,0.22
95,0.317,0.245
96,0.769,0.146
97,0.674,0.15
98,0.448,0.149
99,0.511,0.129
100,0.823,0.154
101,0.813,0.207
102,2.18,0.118
103,0.753,0.119
104,2.598,0.176
105,0.66,0.133
106,1.1,0.084
107,0.206,0.164
108,0.668,0.194
109,1.167,0.213
110,0.558,0.127
111,0.35,0.037
112,0.144,0.168
113,0.497,0.101
114,0.646,0.124
115,0.647,0.156
116,0.72,0.119
117,0.625,0.243
118,0.483,0.212
119,0.465,0.058
120,0.958,0.261
121,0.176,0.118
122,0.522,0.215
123,0.504,0.115
124,0.203,0.139
125,0.626,0.29
126,0.538,0.229
127,0.493,0.214
128,0.187,0.087
129,0.749,0.088
130,0.823,0.144
131,0.315,0.081
132,0.363,0.123
133,0.36,0.116
134,0.281,0.069
135,0.544,0.1
136,0.536,0.27
137,1.421,0.074
138,0.291,0.059
139,0.413,0.078
140,0.358,0.156
141,0.858,0.253
142,0.287,0.065
143,0.749,0.18
144,0.571,0.079
145,1.087,0.143
146,0.507,0.152
147,0.509,0.175
148,2.01,0.174
149,0.745,0.096
150,1.21,0.111
151,0.514,0.151
152,0.488,0.088
153,0.322,0.121
154,0.768,0.151
155,0.239,0.126
156,0.4,0.139
157,1.23,0.101
158,0.698,0.141
159,1.225,0.049
160,0.12,0.106
161,0.321,0.106
162,0.713,0.09
163,0.367,0.266
164,0.867,0.094
165,0.456,0.104
166,0.517,0.12
167,0.18,0.173
168,0.206,0.178
169,0.608,0.112
170,0.351,0.077
171,0.582,0.244
172,0.694,0.317
173,2.217,0.084
174,0.365,0.122
175,0.653,0.2
176,0.991,0.284
177,1.264,0.262
178,0.264,0.069
179,0.433,0.034
180,0.653,0.108
181,0.734,0.15
182,0.777,0.125
183,0.6,0.193
184,0.697,0.209
185,2.298,0.177
186,0.504,0.135
187,0.39,0.092
188,0.661,0.193
189,0.386,0.117
190,0.205,0.151
191,0.462,0.135
192,0.484,0.071
193,0.556,0.149
194,0.544,0.193
195,0.289,0.084
196,0.496,0.103
197,0.554,0.194
198,1.523,0.119
199,0.938,0.099
200,0.359,0.116
201,1.105,0.083
202,0.5,0.119
203,1.578,0.103
204,0.924,0.189
205,0.396,0.111
206,0.598,0.129
207,0.499,0.159
208,0.868,0.125
209,0.598,0.104
210,0.901,0.227
211,0.527,0.107
212,0.342,0.096
213,0.329,0.111
214,0.501,0.073
215,1.003,0.152
216,0.708,0.125
217,1.167,0.107
218,0.408,0.161
219,1.034,0.388
220,0.417,0.094
221,0.668,0.175
222,0.415,0.159
223,1.285,0.207
224,0.462,0.081
225,0.945,0.072
226,0.606,0.127
227,0.573,0.19
228,0.233,0.096
229,0.911,0.06
230,0.371,0.152
231,0.628,0.098
232,0.433,0.156
233,0.523,0.233
234,0.362,0.079
235,1.196,0.173
236,1.228,0.109
237,0.599,0.13
238,1.041,0.121
239,1.387,0.078
240,1.28,0.152
241,0.733,0.296
242,0.272,0.124
